ProductKey,SKU,ProductName,Category,Subcategory,TeamType,TeamName,StarPlayer,BrandLine,ReleaseSeason,LaunchDate,BasePrice,BaseCost,IsLimitedEdition
1,KIT-0001,Northbridge FC Home Jersey,Kits,Club Kit,Club,Northbridge FC,Luca Vale,PitchSide Elite,Annual Kit Drop,2023-08-01,94,41.36,0
2,KIT-0002,Northbridge FC Away Jersey,Kits,Club Kit,Club,Northbridge FC,Luca Vale,PitchSide Elite,Annual Kit Drop,2024-08-01,96,42.24,0
3,KIT-0003,Northbridge FC Third Jersey,Kits,Club Kit,Club,Northbridge FC,Luca Vale,PitchSide Elite,Annual Kit Drop,2025-08-01,102,44.88,0
4,KIT-0004,Royal Montelena Home Jersey,Kits,Club Kit,Club,Royal Montelena,Adriano Sol,PitchSide Elite,Annual Kit Drop,2021-08-01,94,41.36,0
5,KIT-0005,Royal Montelena Away Jersey,Kits,Club Kit,Club,Royal Montelena,Adriano Sol,PitchSide Elite,Annual Kit Drop,2022-08-01,96,42.24,0
6,KIT-0006,Royal Montelena Third Jersey,Kits,Club Kit,Club,Royal Montelena,Adriano Sol,PitchSide Elite,Annual Kit Drop,2023-08-01,102,44.88,0
7,KIT-0007,Harbor Athletic Home Jersey,Kits,Club Kit,Club,Harbor Athletic,Milo Hart,PitchSide Elite,Annual Kit Drop,2024-08-01,94,41.36,0
8,KIT-0008,Harbor Athletic Away Jersey,Kits,Club Kit,Club,Harbor Athletic,Milo Hart,PitchSide Elite,Annual Kit Drop,2025-08-01,96,42.24,0
9,KIT-0009,Harbor Athletic Third Jersey,Kits,Club Kit,Club,Harbor Athletic,Milo Hart,PitchSide Elite,Annual Kit Drop,2021-08-01,102,44.88,0
10,KIT-0010,Red Oak United Home Jersey,Kits,Club Kit,Club,Red Oak United,Owen Pryce,PitchSide Elite,Annual Kit Drop,2022-08-01,94,41.36,0
11,KIT-0011,Red Oak United Away Jersey,Kits,Club Kit,Club,Red Oak United,Owen Pryce,PitchSide Elite,Annual Kit Drop,2023-08-01,96,42.24,0
12,KIT-0012,Red Oak United Third Jersey,Kits,Club Kit,Club,Red Oak United,Owen Pryce,PitchSide Elite,Annual Kit Drop,2024-08-01,102,44.88,0
13,KIT-0013,Sunset Rovers Home Jersey,Kits,Club Kit,Club,Sunset Rovers,Mateo Quinn,PitchSide Elite,Annual Kit Drop,2025-08-01,94,41.36,0
14,KIT-0014,Sunset Rovers Away Jersey,Kits,Club Kit,Club,Sunset Rovers,Mateo Quinn,PitchSide Elite,Annual Kit Drop,2021-08-01,96,42.24,0
15,KIT-0015,Sunset Rovers Third Jersey,Kits,Club Kit,Club,Sunset Rovers,Mateo Quinn,PitchSide Elite,Annual Kit Drop,2022-08-01,102,44.88,0
16,KIT-0016,Valle Dorado CF Home Jersey,Kits,Club Kit,Club,Valle Dorado CF,Diego Maren,PitchSide Elite,Annual Kit Drop,2023-08-01,94,41.36,0
17,KIT-0017,Valle Dorado CF Away Jersey,Kits,Club Kit,Club,Valle Dorado CF,Diego Maren,PitchSide Elite,Annual Kit Drop,2024-08-01,96,42.24,0
18,KIT-0018,Valle Dorado CF Third Jersey,Kits,Club Kit,Club,Valle Dorado CF,Diego Maren,PitchSide Elite,Annual Kit Drop,2025-08-01,102,44.88,0
19,KIT-0019,Nordstadt 04 Home Jersey,Kits,Club Kit,Club,Nordstadt 04,Felix Sturm,PitchSide Elite,Annual Kit Drop,2021-08-01,94,41.36,0
20,KIT-0020,Nordstadt 04 Away Jersey,Kits,Club Kit,Club,Nordstadt 04,Felix Sturm,PitchSide Elite,Annual Kit Drop,2022-08-01,96,42.24,0
21,KIT-0021,Nordstadt 04 Third Jersey,Kits,Club Kit,Club,Nordstadt 04,Felix Sturm,PitchSide Elite,Annual Kit Drop,2023-08-01,102,44.88,0
22,KIT-0022,Lago Azul SC Home Jersey,Kits,Club Kit,Club,Lago Azul SC,Thiago Luz,PitchSide Elite,Annual Kit Drop,2024-08-01,94,41.36,0
23,KIT-0023,Lago Azul SC Away Jersey,Kits,Club Kit,Club,Lago Azul SC,Thiago Luz,PitchSide Elite,Annual Kit Drop,2025-08-01,96,42.24,0
24,KIT-0024,Lago Azul SC Third Jersey,Kits,Club Kit,Club,Lago Azul SC,Thiago Luz,PitchSide Elite,Annual Kit Drop,2021-08-01,102,44.88,0
25,KIT-0025,Sakura Eleven Home Jersey,Kits,Club Kit,Club,Sakura Eleven,Ren Aoki,PitchSide Elite,Annual Kit Drop,2022-08-01,94,41.36,0
26,KIT-0026,Sakura Eleven Away Jersey,Kits,Club Kit,Club,Sakura Eleven,Ren Aoki,PitchSide Elite,Annual Kit Drop,2023-08-01,96,42.24,0
27,KIT-0027,Sakura Eleven Third Jersey,Kits,Club Kit,Club,Sakura Eleven,Ren Aoki,PitchSide Elite,Annual Kit Drop,2024-08-01,102,44.88,0
28,KIT-0028,Ironcrest City Home Jersey,Kits,Club Kit,Club,Ironcrest City,Elian Cross,PitchSide Elite,Annual Kit Drop,2025-08-01,94,41.36,0
29,KIT-0029,Ironcrest City Away Jersey,Kits,Club Kit,Club,Ironcrest City,Elian Cross,PitchSide Elite,Annual Kit Drop,2021-08-01,96,42.24,0
30,KIT-0030,Ironcrest City Third Jersey,Kits,Club Kit,Club,Ironcrest City,Elian Cross,PitchSide Elite,Annual Kit Drop,2022-08-01,102,44.88,0
31,NTK-0031,Albion National Team Home Jersey,Kits,National Team Kit,National,Albion,Theo Vale,PitchSide Elite,Tournament Cycle,2022-05-15,99,42.57,0
32,NTK-0032,Albion National Team Away Jersey,Kits,National Team Kit,National,Albion,Theo Vale,PitchSide Elite,Tournament Cycle,2024-05-15,101,43.43,0
33,NTK-0033,Costa Verde National Team Home Jersey,Kits,National Team Kit,National,Costa Verde,Nico Reyes,PitchSide Elite,Tournament Cycle,2022-05-15,99,42.57,0
34,NTK-0034,Costa Verde National Team Away Jersey,Kits,National Team Kit,National,Costa Verde,Nico Reyes,PitchSide Elite,Tournament Cycle,2024-05-15,101,43.43,0
35,NTK-0035,Nordland National Team Home Jersey,Kits,National Team Kit,National,Nordland,Erik Voss,PitchSide Elite,Tournament Cycle,2022-05-15,99,42.57,0
36,NTK-0036,Nordland National Team Away Jersey,Kits,National Team Kit,National,Nordland,Erik Voss,PitchSide Elite,Tournament Cycle,2024-05-15,101,43.43,0
37,NTK-0037,Solaria National Team Home Jersey,Kits,National Team Kit,National,Solaria,Marco Este,PitchSide Elite,Tournament Cycle,2022-05-15,99,42.57,0
38,NTK-0038,Solaria National Team Away Jersey,Kits,National Team Kit,National,Solaria,Marco Este,PitchSide Elite,Tournament Cycle,2024-05-15,101,43.43,0
39,NTK-0039,Andesia National Team Home Jersey,Kits,National Team Kit,National,Andesia,Santi Cruz,PitchSide Elite,Tournament Cycle,2022-05-15,99,42.57,0
40,NTK-0040,Andesia National Team Away Jersey,Kits,National Team Kit,National,Andesia,Santi Cruz,PitchSide Elite,Tournament Cycle,2024-05-15,101,43.43,0
41,NTK-0041,Sakura National Team Home Jersey,Kits,National Team Kit,National,Sakura,Kai Morita,PitchSide Elite,Tournament Cycle,2022-05-15,99,42.57,0
42,NTK-0042,Sakura National Team Away Jersey,Kits,National Team Kit,National,Sakura,Kai Morita,PitchSide Elite,Tournament Cycle,2024-05-15,101,43.43,0
43,NTK-0043,Aurora National Team Home Jersey,Kits,National Team Kit,National,Aurora,Leo Winter,PitchSide Elite,Tournament Cycle,2022-05-15,99,42.57,0
44,NTK-0044,Aurora National Team Away Jersey,Kits,National Team Kit,National,Aurora,Leo Winter,PitchSide Elite,Tournament Cycle,2024-05-15,101,43.43,0
45,NTK-0045,Mar Azul National Team Home Jersey,Kits,National Team Kit,National,Mar Azul,Rafa Costa,PitchSide Elite,Tournament Cycle,2022-05-15,99,42.57,0
46,NTK-0046,Mar Azul National Team Away Jersey,Kits,National Team Kit,National,Mar Azul,Rafa Costa,PitchSide Elite,Tournament Cycle,2024-05-15,101,43.43,0
47,BTS-0047,AeroStrike Pro FG,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2023-03-01,165,79.2,0
48,BTS-0048,AeroStrike Elite SG,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2024-04-01,178,85.44,0
49,BTS-0049,PulseControl Speed,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2025-05-01,149,71.52,0
50,BTS-0050,PulseControl+,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2021-06-01,159,76.32,0
51,BTS-0051,StormTouch Academy,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2022-07-01,118,56.64,0
52,BTS-0052,StormTouch Pro,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2023-08-01,132,63.36,0
53,BTS-0053,Velocity 11 Elite,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2024-09-01,185,88.8,0
54,BTS-0054,Velocity 11 Team,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2025-01-01,142,68.16,0
55,BTS-0055,FutureCraft Turf,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2021-02-01,125,60.0,0
56,BTS-0056,FutureCraft Indoor,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2022-03-01,112,53.76,0
57,BTS-0057,StrikerFlow Carbon,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2023-04-01,192,92.16,0
